player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,Chris Taylor,73.0,190.0,1990-08-29,2014-07-24,R,R,taylc001,
,Corey Seager,76.0,215.0,1994-04-27,2015-09-03,L,R,seagc001,
,Justin Turner,71.0,180.0,1984-11-23,2009-09-08,R,R,turnj001,
,Cody Bellinger,76.0,210.0,1995-07-13,2017-04-25,L,L,bellc002,
,Logan Forsythe,73.0,205.0,1987-01-14,2011-05-04,R,R,forsl001,
,Joc Pederson,73.0,185.0,1992-04-21,2014-09-01,L,L,pedej001,
,Yasmani Grandal,74.0,210.0,1988-11-08,2012-06-02,B,R,grany001,
,Yasiel Puig,75.0,245.0,1990-12-07,2013-06-03,R,R,puigy001,
,Brandon McCarthy,79.0,220.0,1983-07-07,2005-05-22,R,R,mccab001,
,Ross Stripling,75.0,210.0,1989-11-23,2016-04-08,R,R,strir001,
,Enrique Hernandez,71.0,170.0,1991-08-24,2014-07-01,R,R,herne001,
